scenario,detection,decision,commands_before,final_action,hold_last,neutral,retry,go_around,stop,exception_swallowed,logging,test_coverage
missing telemetry key,KeyError or None in telemetry dict,Depends on phase: hold-last or go-around,None (first frame) or previous frame commands,No new commands; error budget counting,YES,NO,YES (up to 3 consecutive errors),YES (if post-takeover and 3+ errors),YES (if pre-takeover and 3+ errors),YES (try/except in main.py:578),YES (logger.exception),"TEST_CONFIRMED test_wp0_smoke.py, test_p0_p1_contract.py"
stale telemetry,No timestamp/age check detected in codebase,N/A — stale data treated as fresh,None,Commands based on stale data,N/A,NO,N/A,NO (stale data not detected),NO,N/A,NO (no staleness warning),UNREACHED — no staleness test exists
None value in telemetry,TypeError or AttributeError in consumers,"Depends on consumer — some handle None, some don't",None (first frame) or previous frame,Varies by consumer,"PARTIAL (some consumers check, some don't)",NO,YES (error budget),YES (if error budget exceeded),YES (if pre-takeover and error budget exceeded),YES (try/except in main.py:578),YES,TEST_CONFIRMED (some paths)
NaN/inf in telemetry,math.isfinite checks in wind_correction.py,ValueError → exception → error budget,None,Exception propagated to main loop,NO,NO,YES,YES (if error budget exceeded),YES (if pre-takeover),YES,YES,TEST_CONFIRMED test_wind_correction.py
SimConnect read exception,Exception in telemetry.get_all_data(),Error budget,None (read failed),No commands; retry or go-around/stop,YES (previous frame values),NO,YES (up to 3),YES (if post-takeover and 3+ errors),YES (if pre-takeover),YES,YES,HARNESS_CONFIRMED (can mock SimConnect)
SimConnect write exception,Exception in control.set_*(),Logged; command lost,The failed command,Error propagated to main loop → error budget,YES (SimConnect holds last value),NO,YES (next frame re-sends),YES (if error budget exceeded),YES (if pre-takeover),YES (try/except in control.py),YES (logger.error in control.py),HARNESS_CONFIRMED (can mock ae.event)
connection loss,ConnectionMonitor.should_switch_method(),Switch connection method (L:Vars → WASM → SimConnect),None (read failed),Method switch; commands resume on new method,YES,NO,YES (automatic method switching),YES (if method switch fails repeatedly),YES (if no methods available),YES,YES,"INFERRED (ConnectionMonitor exists, behavior inferred)"
ILS signal loss,ils_navigation.calculate_ils_approach() returns degraded data,Depends on phase — may continue or go-around,ILS-based commands,Fall back to VOR/GPS or go-around,YES,NO,YES (next frame re-checks),CONDITIONAL (depends on phase and duration),NO,NO,YES,TEST_CONFIRMED (ILS tests exist)
LOC signal loss,loc_available=False from calculate_loc_approach(),Immediate go-around,LOC-based commands,execute_go_around() (main.py:684),NO (go-around overrides),NO,NO (go-around is final),YES (immediate),NO,NO,YES (logger.warning),TEST_CONFIRMED test_loc_approach.py
unstable approach,StabilizedApproachMonitor.should_go_around(),Go-around,"Approach commands (heading, VS, throttle)",execute_go_around() (approach_phases.py:578),NO (go-around overrides),NO,NO,YES,NO,NO,YES,TEST_CONFIRMED test_sink_rate_guard.py
wind shear,WindShearDetector.update() returns alert,Go-around,Approach commands,execute_go_around() (approach_phases.py:408),NO,NO,NO,YES,NO,NO,YES (audio alert if enabled),"INFERRED (detector exists, no wind shear tests found)"
turbulence,TurbulenceDetector.update() returns alert,Go-around,Approach commands,execute_go_around() (approach_phases.py:408),NO,NO,NO,YES,NO,NO,YES,"INFERRED (detector exists, no turbulence tests found)"
ownership mismatch,CommandGateway._authorize() compares source vs owner,CommandRejected,Requested command,Command not sent; logged,YES (last valid command persists),NO,YES (next frame with correct ownership),NO,NO,NO (explicit rejection),YES,TEST_CONFIRMED test_control_ownership.py
vJoy unavailable,VirtualJoystick init fails or apply_control_inputs() raises,Fall back to SimConnect via aircraft_adapter,vJoy commands (failed),SimConnect fallback,N/A,NO,YES (next frame uses fallback),NO (fallback available),NO,YES (try/except in virtual_joystick.py),YES,INFERRED (fallback path exists)
WASM unavailable,AircraftCommandAdapter LVAR write fails,Fall back to SimConnect events,WASM command (failed),SimConnect fallback via control.py,N/A,NO,YES,NO,NO,YES (try/except in aircraft_adapter.py),YES,INFERRED (fallback path exists)
go-around failure partway,Exception during execute_go_around() command sequence,"Partial go-around; some commands sent, some not","Partial go-around commands (e.g., throttle set, VS not set)",AP master re-engaged; partial climb; stop_approach(),YES (for commands not yet sent),NO,NO (stop_approach called),PARTIAL (already in progress),YES (stop_approach called after partial go-around),YES (each set_* has try/except),YES,UNREACHED — no partial go-around test exists
error budget exceeded,consecutive_errors >= 3 in execute_approach(),Go-around (post-takeover) or stop (pre-takeover),Previous frame commands,execute_go_around() or stop_approach(),YES,NO,NO (budget exceeded),YES (if post-takeover),YES (if pre-takeover),YES,YES (logger.critical),INFERRED (error budget logic exists)
